source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Chicago Sun-Times ,Lean Left,somewhat disagree,1713,848,865,0.4950379451255108
Chicago Tribune ,Center,disagree,5804,2044,3760,0.352170916609235
Children’s Defense Fund ,Left,somewhat agree,640,329,311,0.5140625
Chip Bok (cartoonist) ,Right,somewhat agree,405,216,189,0.5333333333333333
Chris Britt (cartoonist) ,Center,agree,334,207,127,0.6197604790419161
Chris Ruddy ,Right,somewhat disagree,468,199,269,0.4252136752136752
Chris Wallace ,Center,disagree,394,151,243,0.383248730964467
Christian Science Monitor ,Center,somewhat disagree,32182,14317,17865,0.4448760176496178
Christiane Amanpour ,Lean Left,somewhat disagree,1221,536,685,0.438984438984439
Christianity Today ,Lean Right,disagree,429,170,259,0.3962703962703963
Christopher Buskirk ,Lean Right,somewhat agree,315,182,133,0.5777777777777777
Chuck Asay (cartoonist) ,Right,somewhat agree,418,231,187,0.5526315789473685
City Journal ,Right,somewhat agree,829,460,369,0.5548854041013269
CivilPolitics.org ,Center,somewhat agree,529,271,258,0.5122873345935728
Clara Nevins ,Lean Left,somewhat disagree,14,6,8,0.42857142857142855
Clay Bennett (cartoonist) ,Left,somewhat agree,342,196,146,0.5730994152046783
CNBC ,Center,strongly disagree,8541,2657,5884,0.3110876946493385
CNET ,Center,somewhat agree,798,434,364,0.543859649122807
CNN (Online News) ,Left,somewhat disagree,89315,44063,45252,0.49334378323909756
CNN (Opinion) ,Left,absolutely agree,34173,27848,6325,0.8149123577093027
CNSNews.com ,Right,somewhat agree,1724,957,767,0.5551044083526682
Coffee Party USA ,Center,somewhat agree,127,68,59,0.5354330708661418
Columbia Journalism Review ,Center,disagree,700,242,458,0.3457142857142857
Columbia Missourian ,Center,agree,35,22,13,0.6285714285714286
Commentary Magazine ,Right,somewhat agree,525,264,261,0.5028571428571429
Committee to Protect Journalists ,Center,somewhat agree,52,27,25,0.5192307692307693
Common Dreams ,Left,absolutely agree,90,70,20,0.7777777777777778
Common Ground Committee ,Center,strongly agree,38,28,10,0.7368421052631579
Concord Monitor ,Center,somewhat disagree,105,51,54,0.4857142857142857
Conor Friedersdorf ,Center,somewhat disagree,151,66,85,0.4370860927152318
Conservative HQ ,Right,strongly agree,1330,910,420,0.6842105263157895
Cook Report ,Center,agree,1575,950,625,0.6031746031746031
Council on Foreign Relations ,Left,somewhat disagree,484,204,280,0.4214876033057851
Countable ,Center,somewhat disagree,233,116,117,0.4978540772532189
Counter Currents ,Lean Left,somewhat agree,658,376,282,0.5714285714285714
Counterpointing ,Mixed,somewhat agree,786,407,379,0.5178117048346056
CrowdPAC ,Center,somewhat disagree,912,444,468,0.4868421052631579
CU Independent ,Center,somewhat disagree,835,381,454,0.4562874251497006
Current Affairs ,Left,strongly agree,617,427,190,0.6920583468395461
Daily Beast ,Left,strongly agree,22584,16916,5668,0.749025859015232
Daily Breeze ,Center,strongly disagree,47,15,32,0.3191489361702128
Daily Cardinal ,Center,somewhat disagree,933,448,485,0.48017148981779206
Daily Chela ,Left,somewhat agree,65,35,30,0.5384615384615384
Daily Citizen ,Right,strongly agree,87,59,28,0.6781609195402298
Daily Kos ,Left,strongly agree,7711,5635,2076,0.7307742186486837
Daily Mail ,Right,agree,15238,9768,5470,0.6410290064312902
Daily Northwestern ,Lean Left,somewhat disagree,824,402,422,0.4878640776699029
Daily Press ,Lean Right,somewhat disagree,900,399,501,0.44333333333333336
Daily Progress ,Center,somewhat disagree,916,449,467,0.490174672489083
Daily Targum ,Lean Left,somewhat disagree,707,285,422,0.4031117397454031
Damon Linker ,Lean Left,somewhat agree,673,337,336,0.5007429420505201
Dan Lucas ,Right,somewhat agree,214,120,94,0.5607476635514018
Dan Schnur ,Center,disagree,21,8,13,0.38095238095238093
Dan Wasserman (cartoonist) ,Left,agree,171,114,57,0.6666666666666666
Dana Milbank ,Center,disagree,621,231,390,0.3719806763285024
Dana Summers (cartoonist) ,Lean Right,somewhat disagree,271,130,141,0.4797047970479705
David Brooks ,Lean Right,somewhat disagree,1010,451,559,0.44653465346534654
David French ,Lean Right,somewhat agree,100,60,40,0.6
David Frum ,Lean Right,disagree,50,19,31,0.38
David Harsanyi ,Right,somewhat agree,46,27,19,0.5869565217391305
David Holmes ,Lean Left,somewhat agree,190,110,80,0.5789473684210527
David Ignatius ,Center,somewhat disagree,457,189,268,0.4135667396061269
David Leonhardt ,Lean Left,somewhat agree,350,194,156,0.5542857142857143
David Petraeus ,Center,somewhat disagree,54,25,29,0.46296296296296297
Debilyn Molineaux ,Lean Left,somewhat agree,7,4,3,0.5714285714285714
Debra Saunders ,Right,somewhat agree,325,181,144,0.556923076923077
Defense One ,Center,somewhat agree,621,318,303,0.5120772946859904
Democracy Now ,Left,absolutely agree,14459,11741,2718,0.8120201950342347
Dennis Prager ,Right,agree,439,278,161,0.6332574031890661
Des Moines Register ,Center,somewhat disagree,348,146,202,0.41954022988505746
Deseret News ,Lean Right,disagree,3057,1224,1833,0.40039254170755645
Desiring God ,Lean Right,somewhat agree,35,18,17,0.5142857142857142
DetectFakeNews.com ,Center,disagree,42,15,27,0.35714285714285715
Detroit Free Press ,Lean Left,somewhat disagree,560,254,306,0.45357142857142857
Detroit News ,Center,disagree,386,142,244,0.36787564766839376
Diamond and Silk ,Right,strongly agree,271,197,74,0.7269372693726938
Dick Locher (cartoonist) ,Right,somewhat disagree,158,71,87,0.44936708860759494
Dick Morris ,Lean Right,somewhat disagree,535,239,296,0.44672897196261685
Diplomatic Courier ,Center,somewhat agree,688,378,310,0.5494186046511628
Dr. Abdul El-Sayed ,Left,agree,74,48,26,0.6486486486486487
Drew Litton (cartoonist) ,Center,disagree,175,60,115,0.34285714285714286
Drew Sheneman (cartoonist) ,Left,somewhat agree,196,113,83,0.576530612244898
Drudge Report ,Lean Right,somewhat agree,4224,2270,1954,0.537405303030303
Duke Chronicle ,Center,somewhat agree,868,435,433,0.5011520737327189
Dylan Rose ,Center,somewhat agree,9,5,4,0.5555555555555556
E J Dionne ,Left,somewhat agree,1022,562,460,0.5499021526418787
East Bay Times ,Lean Left,agree,159,103,56,0.6477987421383647
Economic Policy Institute ,Left,somewhat agree,514,265,249,0.5155642023346303
Ed Rogers ,Right,agree,281,175,106,0.6227758007117438
EdVotes.org ,Left,agree,211,139,72,0.6587677725118484
Edward Morrissey ,Right,somewhat agree,336,175,161,0.5208333333333334
Eli Pariser ,Left,somewhat agree,110,66,44,0.6
Eli Steinberg ,Center,somewhat disagree,16,7,9,0.4375
Elie Mystal ,Left,somewhat agree,26,14,12,0.5384615384615384
Elle Magazine ,Lean Left,agree,50,33,17,0.66
Environmental Defense Fund ,Lean Left,somewhat agree,655,355,300,0.5419847328244275
Eric Allie (cartoonist) ,Right,somewhat agree,286,159,127,0.5559440559440559
Eric Boehm ,Lean Right,,14,7,7,0.5
Eric Holder ,Lean Left,absolutely disagree,436,90,346,0.20642201834862386
Erik Wemple ,Center,somewhat disagree,610,258,352,0.42295081967213116
Erraticus ,Center,strongly agree,48,34,14,0.7083333333333334
Esquire ,Left,strongly agree,1775,1188,587,0.6692957746478874
Estes Park Trail Gazette ,Center,somewhat disagree,669,298,371,0.445440956651719
Eugene Robinson ,Left,somewhat agree,524,309,215,0.5896946564885496
Eurek Alert ,Center,somewhat disagree,783,369,414,0.47126436781609193
Ezra Klein ,Left,agree,797,482,315,0.6047678795483061
Face the Facts USA ,Center,disagree,677,268,409,0.39586410635155095
Fact Checker Blog ,Center,somewhat agree,1619,839,780,0.5182211241507103
FactCheck.org ,Center,somewhat agree,13933,7457,6476,0.5352041914878346
FAIR ,Lean Left,somewhat disagree,1172,580,592,0.4948805460750853
Falls Church News - Press ,Left,somewhat disagree,927,445,482,0.48004314994606256
Family Research Council ,Lean Right,disagree,1004,384,620,0.38247011952191234
Fareed Zakaria ,Center,disagree,1205,423,782,0.3510373443983402
Federation of American Scientists ,Lean Left,somewhat disagree,647,287,360,0.4435857805255023
FEE.org ,Lean Right,absolutely agree,526,395,131,0.7509505703422054
Financial Times ,Center,agree,1335,807,528,0.604494382022472
First Draft News ,Center,,38,19,19,0.5
Fiscal Times ,Lean Right,somewhat agree,1374,735,639,0.5349344978165939
FiveThirtyEight ,Center,somewhat agree,7545,4402,3143,0.5834327369118621
Food Democracy Now ,Lean Left,somewhat disagree,323,154,169,0.47678018575851394
Forbes ,Center,agree,18528,11807,6721,0.6372517271157168
Foreign Affairs ,Center,agree,1646,1058,588,0.6427703523693803
Foreign Policy ,Center,somewhat disagree,530,253,277,0.47735849056603774
Fortune ,Center,disagree,402,145,257,0.36069651741293535
Fox News (Online News) ,Lean Right,somewhat disagree,81496,37237,44259,0.4569181309512123
Fox News (Opinion) ,Right,absolutely agree,28784,23320,5464,0.8101723179544191
Fox News Latino ,Right,strongly agree,3613,2461,1152,0.6811513977304179
Frank Bruni ,Lean Left,somewhat disagree,317,145,172,0.45741324921135645
Frank Miniter ,Right,somewhat agree,660,334,326,0.5060606060606061
Freakonomics ,Center,agree,690,432,258,0.6260869565217392
Freedom House ,Lean Right,somewhat disagree,325,135,190,0.4153846153846154
Froma Harrop ,Lean Left,somewhat agree,198,104,94,0.5252525252525253
FrontPage Magazine ,Right,somewhat agree,1045,605,440,0.5789473684210527
Gabrielle Giffords ,Lean Left,somewhat disagree,87,40,47,0.45977011494252873
Gallup ,Center,somewhat agree,1197,641,556,0.5355054302422724
Gary Markstein (cartoonist) ,Center,somewhat disagree,164,70,94,0.4268292682926829
Gary Varvel (cartoonist) ,Right,strongly agree,125,91,34,0.728
Gell ,Mixed,agree,166,104,62,0.6265060240963856
George W. Bush ,Lean Right,strongly agree,188,130,58,0.6914893617021277
George Will ,Right,disagree,1426,548,878,0.38429172510518933
Gina Baleria ,Lean Left,agree,8,5,3,0.625
Gizmodo ,Lean Left,somewhat agree,361,202,159,0.5595567867036011
GLAAD ,Lean Left,absolutely disagree,184,44,140,0.2391304347826087
Glenn Beck ,Right,absolutely agree,1252,954,298,0.7619808306709265
Glenn Greenwald ,Lean Left,somewhat disagree,64,26,38,0.40625
Glenn Harlan Reynolds ,Lean Right,somewhat agree,24,14,10,0.5833333333333334
Glenn McCoy (cartoonist) ,Right,somewhat agree,105,56,49,0.5333333333333333
Google News ,Lean Left,somewhat agree,1400,808,592,0.5771428571428572
GOP.gov ,Right,strongly agree,848,566,282,0.6674528301886793
GQ.com ,Lean Left,somewhat disagree,315,142,173,0.4507936507936508
Grist ,Lean Left,somewhat disagree,1058,506,552,0.4782608695652174
Grover Norquist ,Right,strongly agree,498,373,125,0.748995983935743
Guest Writer - Center ,Center,somewhat disagree,146,60,86,0.410958904109589
Guest Writer - Left ,Lean Left,somewhat disagree,532,220,312,0.41353383458646614
Guest Writer - Right ,Lean Right,somewhat disagree,659,274,385,0.4157814871016692
H.R. McMaster ,Center,strongly agree,50,34,16,0.68
Hampton Roads Messanger ,Center,somewhat disagree,826,408,418,0.4939467312348668
Harvard Business School ,Lean Left,somewhat disagree,1707,769,938,0.450497949619215
Healthcare.gov ,Lean Left,disagree,841,285,556,0.3388822829964328
Heather Mac Donald ,Right,somewhat disagree,323,141,182,0.43653250773993807
Heavy.com ,Center,somewhat disagree,267,128,139,0.4794007490636704
Helen Andrews ,Lean Right,agree,18,11,7,0.6111111111111112
Henry A. Brechter ,Center,somewhat disagree,150,74,76,0.49333333333333335
Henry Payne (cartoonist) ,Right,somewhat disagree,205,92,113,0.44878048780487806
Henry Windsor ,Lean Left,strongly agree,10,7,3,0.7
Herald Democrat ,Left,somewhat agree,912,505,407,0.5537280701754386
High Times ,Lean Left,somewhat agree,57,32,25,0.5614035087719298
Hip Latina ,Left,agree,40,26,14,0.65
Hirsh Joshi ,Left,somewhat agree,88,50,38,0.5681818181818182
Honolulu Civil Beat ,Center,somewhat disagree,884,370,514,0.41855203619909503
HotAir ,Lean Right,somewhat agree,2015,1063,952,0.5275434243176179
Houston Chronicle ,Center,disagree,286,111,175,0.3881118881118881
How Do We Fix It? ,Center,somewhat agree,1291,661,630,0.512006196746708
Howard Kurtz ,Center,somewhat agree,896,498,398,0.5558035714285714
HuffPost ,Left,somewhat agree,54514,32694,21820,0.5997358476721576
Human Rights Campaign ,Left,absolutely agree,76,60,16,0.7894736842105263
Human Rights Watch ,Center,disagree,120,48,72,0.4
Idaho Statesman ,Center,somewhat disagree,210,94,116,0.44761904761904764
Inacow ,Right,somewhat agree,722,412,310,0.5706371191135734
Independent Institute ,Lean Right,somewhat disagree,608,290,318,0.4769736842105263
Independent Journal Review ,Center,somewhat agree,2466,1280,1186,0.519059205190592
Indiana Daily Student ,Center,somewhat disagree,712,310,402,0.4353932584269663
Indy Online ,Center,somewhat disagree,649,310,339,0.4776579352850539
Indy Week ,Lean Left,somewhat disagree,699,333,366,0.47639484978540775
IndyStar ,Center,somewhat disagree,45,19,26,0.4222222222222222
InfoWars ,Right,absolutely agree,6127,5022,1105,0.8196507262934551
Inland Valley Daily Bulletin ,Center,,32,16,16,0.5
Inside Philanthropy ,Center,somewhat disagree,684,322,362,0.47076023391812866
Intellectual Conservative ,Lean Right,somewhat disagree,820,385,435,0.4695121951219512
International Business Times ,Center,somewhat agree,1907,1067,840,0.5595175668589407
Investor's Business Daily ,Lean Right,somewhat agree,2242,1238,1004,0.552185548617306
IVN ,Center,somewhat agree,936,472,464,0.5042735042735043
Jack Ohman (cartoonist) ,Left,agree,117,75,42,0.6410256410256411
Jack Welch ,Lean Right,somewhat agree,258,139,119,0.5387596899224806
Jackson Lanzer ,Center,agree,21,13,8,0.6190476190476191
Jacobin ,Left,absolutely agree,1061,852,209,0.8030160226201697
James Bovard ,Lean Right,agree,71,43,28,0.6056338028169014
James Coan ,Center,somewhat agree,21,11,10,0.5238095238095238
James Hohmann ,Lean Right,somewhat disagree,164,73,91,0.4451219512195122
James Mattis ,Center,somewhat agree,164,89,75,0.5426829268292683
James Pethokoukis ,Lean Right,somewhat agree,199,101,98,0.507537688442211
James Poulos ,Right,somewhat agree,132,76,56,0.5757575757575758
Jared McKiernan ,Center,somewhat agree,15,9,6,0.6
Jeff Danziger (cartoonist) ,Left,somewhat agree,142,75,67,0.528169014084507
Jeff Flake ,Lean Right,strongly disagree,265,83,182,0.3132075471698113
Jeff Jacoby ,Right,somewhat agree,212,125,87,0.589622641509434
Jeff Spross ,Left,somewhat agree,71,42,29,0.5915492957746479
Jeff Stahler (cartoonist) ,Left,somewhat agree,153,91,62,0.5947712418300654
Jefferson Public Radio ,Center,agree,26,16,10,0.6153846153846154
Jen Sorensen (cartoonist) ,Left,agree,138,83,55,0.6014492753623188
Jennifer Rubin ,Lean Left,disagree,586,214,372,0.3651877133105802
Jeremy E Sherman ,Lean Left,somewhat disagree,89,40,49,0.449438202247191
Jeremy Garson ,Lean Left,somewhat agree,9,5,4,0.5555555555555556
Jerry Bowyer ,Right,disagree,417,162,255,0.38848920863309355
Jerry Holbert (cartoonist) ,Right,somewhat agree,148,82,66,0.5540540540540541
Jezebel ,Left,strongly agree,393,287,106,0.7302798982188295
Jim Geraghty ,Lean Right,somewhat agree,22,12,10,0.5454545454545454
Jim Morin (cartoonist) ,Left,strongly agree,97,66,31,0.6804123711340206
Jim Obergefell ,Lean Left,somewhat agree,71,36,35,0.5070422535211268
Jim Rutenberg ,Lean Left,somewhat agree,151,83,68,0.5496688741721855
Joan Blades ,Left,somewhat disagree,253,105,148,0.4150197628458498
Joan Walsh ,Left,somewhat agree,30,18,12,0.6
Joe Scarborough ,Lean Right,absolutely disagree,1433,265,1168,0.18492672714584787
Joel Pett (cartoonist) ,Left,somewhat agree,150,77,73,0.5133333333333333
John Boehner ,Right,somewhat disagree,639,265,374,0.41471048513302033
John Deering (cartoonist) ,Center,somewhat disagree,138,68,70,0.4927536231884058
John Fund ,Lean Right,somewhat disagree,310,150,160,0.4838709677419355
"John Gable, AllSides Founder ",Lean Right,somewhat disagree,466,203,263,0.4356223175965665
John K. Herr ,Lean Right,somewhat agree,110,62,48,0.5636363636363636
John Lewis ,Lean Left,somewhat disagree,29,14,15,0.4827586206896552
John Pudner ,Right,somewhat disagree,188,87,101,0.4627659574468085
John R. Wood Jr. ,Center,somewhat agree,27,15,12,0.5555555555555556
John Stossel ,Lean Right,somewhat agree,1347,770,577,0.5716406829992576
Jon Terbush ,Lean Left,somewhat disagree,299,123,176,0.411371237458194
Jonah Goldberg ,Right,disagree,238,89,149,0.3739495798319328
Jonathan Chait ,Left,somewhat agree,284,152,132,0.5352112676056338
Jonathan Haidt ,Center,agree,130,79,51,0.6076923076923076
Jonathan Miller ,Left,somewhat disagree,187,92,95,0.4919786096256685
Jordan Weissmann ,Left,somewhat disagree,25,11,14,0.44
Joseph Ratliff ,Lean Left,,20,10,10,0.5
Journalist's Resource ,Center,somewhat disagree,644,304,340,0.4720496894409938
Jreg (Youtuber) ,Center,somewhat disagree,71,32,39,0.4507042253521127
JSTOR Daily ,Center,somewhat agree,50,29,21,0.58
Juan Williams ,Lean Left,somewhat agree,985,513,472,0.5208121827411167
Jubilee Media ,Center,somewhat disagree,502,243,259,0.48406374501992033
Judicial Watch ,Lean Right,somewhat disagree,2664,1292,1372,0.484984984984985
Judy Sheindlin ,Center,disagree,88,32,56,0.36363636363636365
Julian Zelizer ,Lean Left,somewhat disagree,336,155,181,0.46130952380952384
Julie Mastrine ,Lean Right,somewhat agree,36,21,15,0.5833333333333334
Just Facts ,Center,somewhat disagree,154,65,89,0.42207792207792205
Just The News ,Center,strongly disagree,731,194,537,0.265389876880985
KALW.org ,Center,somewhat disagree,40,18,22,0.45
Karl Rove ,Lean Right,somewhat disagree,34,15,19,0.4411764705882353
Kathleen Parker ,Lean Right,somewhat agree,390,222,168,0.5692307692307692
Katie Hill ,Lean Left,somewhat disagree,122,57,65,0.4672131147540984
KATU ,Center,somewhat disagree,195,86,109,0.441025641025641
Kelly Murphy ,Lean Left,,12,6,6,0.5
Ken Catalino (cartoonist) ,Right,somewhat disagree,78,38,40,0.48717948717948717
Kenosha News ,Center,strongly disagree,33,10,23,0.30303030303030304
Kevin Kallaugher (cartoonist) ,Lean Left,somewhat agree,92,51,41,0.5543478260869565
Kimberley A. Strassel ,Right,agree,346,213,133,0.615606936416185
Kirsten Powers ,Lean Left,somewhat agree,235,125,110,0.5319148936170213
KQED ,Center,somewhat agree,1033,556,477,0.5382381413359149
Kristin Hansen ,Lean Left,strongly disagree,12,4,8,0.3333333333333333
KSL ,Right,somewhat agree,1799,963,836,0.5352973874374652
Kwame Raoul ,Lean Left,somewhat disagree,21,9,12,0.42857142857142855
KWCH ,Center,somewhat agree,25,15,10,0.6
Kyle Smith ,Lean Right,somewhat agree,20,11,9,0.55
Lalo Alcaraz (cartoonist) ,Left,agree,83,52,31,0.6265060240963856
Lanhee Chen ,Right,somewhat disagree,184,80,104,0.43478260869565216
Las Vegas Sun ,Lean Left,somewhat disagree,675,337,338,0.49925925925925924
Latino Rebels ,Left,somewhat agree,47,28,19,0.5957446808510638
Laura Rose Junco ,Center,somewhat disagree,36,17,19,0.4722222222222222
Lauren Duca ,Left,somewhat agree,177,98,79,0.5536723163841808
Law & Crime ,Center,somewhat disagree,40,19,21,0.475
Leafly ,Left,agree,28,17,11,0.6071428571428571
Leana Wen ,Lean Left,disagree,38,15,23,0.39473684210526316
