source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
John K. Herr,author,lean right,somewhat agree,110,62,48,0.5636363636363636
John Lewis,author,lean left,somewhat disagree,30,14,16,0.4666666666666667
John Pudner,author,right,somewhat disagree,188,87,101,0.4627659574468085
John R. Wood Jr.,author,center,somewhat agree,27,15,12,0.5555555555555556
John Stossel,author,lean right,somewhat agree,1350,773,577,0.5725925925925925
Jon Terbush,author,lean left,somewhat disagree,299,123,176,0.411371237458194
Jonah Goldberg,author,right,disagree,239,89,150,0.3723849372384937
Jonathan Chait,author,left,somewhat agree,284,152,132,0.5352112676056338
Jonathan Haidt,author,center,agree,131,80,51,0.6106870229007634
Jonathan Miller,author,left,somewhat disagree,187,92,95,0.4919786096256685
Jordan Weissmann,author,left,somewhat disagree,25,11,14,0.44
Joseph Ratliff,author,lean left,,20,10,10,0.5
Jreg (Youtuber),author,center,somewhat disagree,71,32,39,0.4507042253521127
Juan Williams,author,lean left,somewhat agree,986,513,473,0.5202839756592292
Judy Sheindlin,author,center,disagree,88,32,56,0.36363636363636365
Julian Zelizer,author,lean left,somewhat disagree,336,155,181,0.46130952380952384
Julie Mastrine,author,lean right,somewhat agree,36,21,15,0.5833333333333334
Karl Rove,author,lean right,somewhat disagree,34,15,19,0.4411764705882353
Kathleen Parker,author,lean right,somewhat agree,391,222,169,0.5677749360613811
Katie Hill,author,lean left,somewhat disagree,123,57,66,0.4634146341463415
Kelly Murphy,author,lean left,,12,6,6,0.5
Ken Catalino (cartoonist),author,right,somewhat disagree,78,38,40,0.48717948717948717
Kevin Kallaugher (cartoonist),author,lean left,somewhat agree,92,51,41,0.5543478260869565
Kimberley A. Strassel,author,right,agree,346,213,133,0.615606936416185
Kirsten Powers,author,lean left,somewhat agree,235,125,110,0.5319148936170213
Kristin Hansen,author,lean left,strongly disagree,12,4,8,0.3333333333333333
Kwame Raoul,author,lean left,somewhat disagree,21,9,12,0.42857142857142855
Kyle Smith,author,lean right,somewhat agree,20,11,9,0.55
Lalo Alcaraz (cartoonist),author,left,agree,83,52,31,0.6265060240963856
Lanhee Chen,author,right,somewhat disagree,184,80,104,0.43478260869565216
Laura Rose Junco,author,center,somewhat disagree,36,17,19,0.4722222222222222
Lauren Duca,author,left,somewhat agree,177,98,79,0.5536723163841808
Leana Wen,author,lean left,disagree,38,15,23,0.39473684210526316
Left Guest Commentaries,author,left,somewhat disagree,249,117,132,0.46987951807228917
Leonard Pitts Jr,author,left,somewhat agree,217,124,93,0.5714285714285714
Lisa Benson (cartoonist),author,right,somewhat agree,143,74,69,0.5174825174825175
Lisa Gable,author,right,somewhat disagree,138,67,71,0.4855072463768116
Lucy Pinto,author,lean left,strongly disagree,12,4,8,0.3333333333333333
Marc A. Thiessen,author,right,agree,700,440,260,0.6285714285714286
Marc Joffe,author,lean right,,8,4,4,0.5
Marcia Beckford,author,lean left,,14,7,7,0.5
Mario Nicolais,author,lean right,somewhat disagree,14,6,8,0.42857142857142855
Mark Begich,author,left,somewhat agree,167,90,77,0.5389221556886228
Mark Gerzon,author,center,somewhat disagree,122,55,67,0.45081967213114754
Mark Hertsgaard,author,lean left,,14,7,7,0.5
Mark Mix,author,right,agree,188,113,75,0.601063829787234
Mark Morford,author,left,agree,91,56,35,0.6153846153846154
Marshall Ramsey (cartoonist),author,center,somewhat agree,148,80,68,0.5405405405405406
Martin Luther King III,author,lean left,somewhat agree,49,25,24,0.5102040816326531
Mary O'Grady,author,right,somewhat disagree,159,67,92,0.42138364779874216
Masih Alinejad,author,center,somewhat agree,64,36,28,0.5625
Matt Bors (cartoonist),author,left,strongly agree,91,66,25,0.7252747252747253
Matt Byrne,author,center,,2,1,1,0.5
Matt Davies (cartoonist),author,left,agree,166,110,56,0.6626506024096386
Matt Drudge,author,right,somewhat agree,758,387,371,0.5105540897097626
Matt Towery,author,lean right,somewhat agree,129,71,58,0.5503875968992248
Matt Welch,author,lean right,disagree,276,104,172,0.37681159420289856
Matt Wuerker (cartoonist),author,left,somewhat agree,158,93,65,0.5886075949367089
Matthew Walther,author,lean right,absolutely agree,115,94,21,0.8173913043478261
Maureen Dowd,author,center,strongly disagree,782,203,579,0.2595907928388747
Max Karlin,author,lean right,somewhat agree,14,8,6,0.5714285714285714
Micaela Ricaforte,author,center,strongly disagree,12,4,8,0.3333333333333333
Michael Barone,author,lean right,somewhat agree,277,156,121,0.5631768953068592
Michael Brendan Dougherty,author,lean right,somewhat disagree,272,131,141,0.48161764705882354
Michael Gerson,author,lean right,somewhat agree,305,169,136,0.5540983606557377
Michael Goodwin,author,right,absolutely agree,359,277,82,0.7715877437325905
Michael Graham,author,right,somewhat disagree,101,45,56,0.44554455445544555
Michael Kinsley,author,left,somewhat agree,218,129,89,0.591743119266055
Michael Medved,author,right,somewhat disagree,351,149,202,0.42450142450142453
Michael Ramirez (cartoonist),author,right,somewhat disagree,228,111,117,0.4868421052631579
Michael Strong,author,lean right,somewhat disagree,14,6,8,0.42857142857142855
Michael Tauberg,author,center,somewhat agree,7,4,3,0.5714285714285714
Michelle Alexander,author,lean left,somewhat agree,187,96,91,0.5133689839572193
Michelle Goldberg,author,left,somewhat agree,193,101,92,0.5233160621761658
Michelle Malkin,author,right,strongly agree,709,480,229,0.6770098730606487
Mike Huckabee,author,lean right,somewhat disagree,141,67,74,0.475177304964539
Mike Lester (cartoonist),author,right,somewhat agree,72,42,30,0.5833333333333334
Mike Luckovich (cartoonist),author,left,somewhat agree,253,135,118,0.5335968379446641
Mike Pence,author,right,absolutely agree,307,237,70,0.7719869706840391
Mike Thompson (cartoonist),author,center,somewhat disagree,158,70,88,0.4430379746835443
Miranda Devine,author,right,strongly agree,26,19,7,0.7307692307692307
Morgan Jacobsen,author,center,somewhat disagree,189,83,106,0.43915343915343913
Multiple Writers - Center,author,center,disagree,29,10,19,0.3448275862068966
Multiple Writers - Lean Left,author,lean left,agree,8,5,3,0.625
Multiple Writers - Lean Right,author,lean right,somewhat disagree,15,7,8,0.4666666666666667
Multiple Writers - Left,author,left,absolutely agree,5,5,0,1.0
Multiple Writers - Mixed,author,mixed,somewhat disagree,24,11,13,0.4583333333333333
Multiple Writers - Right,author,right,strongly agree,11,8,3,0.7272727272727273
Neal K. Katyal,author,lean left,somewhat agree,65,36,29,0.5538461538461539
Neil J. Young,author,lean left,somewhat disagree,133,62,71,0.46616541353383456
Neil Patel,author,right,strongly agree,7,5,2,0.7142857142857143
Newt Gingrich,author,right,strongly agree,1011,732,279,0.7240356083086054
Nicholas Kristof,author,left,somewhat agree,546,289,257,0.5293040293040293
Nick Anderson (cartoonist),author,center,somewhat disagree,130,56,74,0.4307692307692308
Noah Rothman,author,lean right,somewhat agree,112,64,48,0.5714285714285714
Pat Buchanan,author,right,strongly agree,233,169,64,0.7253218884120172
Pat Oliphant (cartoonist),author,center,somewhat disagree,147,71,76,0.48299319727891155
Paul Brandus,author,center,somewhat disagree,7,3,4,0.42857142857142855
Paul Krugman,author,left,agree,880,561,319,0.6375
Paul Szep (cartoonist),author,center,,134,67,67,0.5
Paul Volcker,author,center,somewhat agree,111,61,50,0.5495495495495496
Pedro Silva,author,center,somewhat disagree,17,8,9,0.47058823529411764
Peggy Noonan,author,right,disagree,889,342,547,0.3847019122609674
Peter Roff,author,lean right,strongly agree,508,343,165,0.6751968503937008
Peter Thiel,author,lean right,somewhat disagree,193,86,107,0.44559585492227977
Phillip Bader,author,center,absolutely disagree,6,1,5,0.16666666666666666
Piers Morgan,author,lean left,disagree,977,345,632,0.353121801432958
Rachel Eckhardt,author,lean left,somewhat disagree,144,64,80,0.4444444444444444
Rahm Emanuel,author,lean left,absolutely disagree,296,69,227,0.23310810810810811
Ralph Benko,author,right,somewhat disagree,205,88,117,0.4292682926829268
Ramesh Ponnuru,author,right,somewhat agree,287,163,124,0.5679442508710801
Rand Paul,author,lean right,somewhat agree,997,534,463,0.5356068204613842
Rem Reider,author,center,somewhat disagree,214,100,114,0.4672897196261682
Rev. Jesse Jackson Sr.,author,left,absolutely agree,663,536,127,0.808446455505279
Rich Lowry,author,right,somewhat agree,556,292,264,0.5251798561151079
Rich Tafel,author,center,somewhat agree,171,90,81,0.5263157894736842
Rich Zeoli,author,lean right,somewhat agree,189,106,83,0.5608465608465608
Richard M. Cohen,author,lean left,somewhat agree,90,50,40,0.5555555555555556
Rick Snyder,author,lean right,somewhat disagree,16,7,9,0.4375
Rick Ungar,author,lean left,somewhat agree,322,169,153,0.5248447204968945
Rick Wytmar,author,lean left,,16,8,8,0.5
Right Guest Commentaries,author,right,somewhat agree,157,90,67,0.5732484076433121
Rob Rogers (cartoonist),author,left,absolutely agree,117,93,24,0.7948717948717948
Robert Ariail (cartoonist),author,center,somewhat disagree,164,77,87,0.4695121951219512
Robert Samuelson,author,center,somewhat disagree,285,133,152,0.4666666666666667
Robert Verbruggen,author,lean right,somewhat disagree,9,4,5,0.4444444444444444
Rod Blagojevich,author,center,absolutely disagree,153,26,127,0.16993464052287582
Rolf Hendriks,author,center,somewhat agree,19,10,9,0.5263157894736842
Ron Suskind,author,center,strongly agree,4,3,1,0.75
Ross Douthat,author,lean right,agree,351,215,136,0.6125356125356125
Russell Brandom,author,center,absolutely disagree,17,4,13,0.23529411764705882
Ruth Marcus,author,lean left,somewhat disagree,390,194,196,0.49743589743589745
Ryan Cooper,author,left,absolutely agree,638,515,123,0.8072100313479624
Ryan Cooper,author,left,somewhat agree,197,117,80,0.5939086294416244
S.E. Cupp,author,lean right,disagree,215,80,135,0.37209302325581395
Saagar Enjeti,author,center,somewhat agree,258,130,128,0.5038759689922481
Sally Pipes,author,right,strongly agree,428,292,136,0.6822429906542056
Sam Harris,author,center,somewhat agree,75,45,30,0.6
Samantha Shireman,author,lean left,,6,3,3,0.5
SBG,author,center,somewhat agree,141,72,69,0.5106382978723404
Scott Adams,author,center,somewhat disagree,167,81,86,0.48502994011976047
Scott Jennings,author,lean right,somewhat agree,105,60,45,0.5714285714285714
Scott Stantis (cartoonist),author,right,somewhat disagree,144,62,82,0.4305555555555556
Shannon Mannon,author,lean left,somewhat disagree,11,5,6,0.45454545454545453
Signe Wilkinson (cartoonist),author,left,somewhat agree,82,49,33,0.5975609756097561
Small World (cartoonist),author,left,somewhat disagree,71,35,36,0.49295774647887325
Spread Great Ideas,author,center,,0,0,0,
Stacey Abrams,author,lean left,strongly disagree,279,76,203,0.2724014336917563
Steve Benson (cartoonist),author,left,somewhat agree,164,86,78,0.524390243902439
Steve Breen (cartoonist),author,center,somewhat agree,137,77,60,0.5620437956204379
Steve Forbes,author,lean right,somewhat agree,152,91,61,0.5986842105263158
Steve Kelley (cartoonist),author,right,somewhat disagree,83,41,42,0.4939759036144578
Steve Sack (cartoonist),author,left,agree,110,71,39,0.6454545454545455
Steven Petrow,author,center,absolutely disagree,13,3,10,0.23076923076923078
Stuart Carlson (cartoonist),author,left,somewhat disagree,109,50,59,0.45871559633027525
Sukhayl Niyazov,author,center,somewhat disagree,15,7,8,0.4666666666666667
Tara Parekh,author,lean left,,8,4,4,0.5
Ted Rall (cartoonist),author,left,somewhat agree,117,67,50,0.5726495726495726
Thomas Frank,author,lean left,somewhat disagree,325,155,170,0.47692307692307695
Thomas L. Friedman,author,lean left,disagree,135,54,81,0.4
Thomas Sowell,author,lean right,agree,704,424,280,0.6022727272727273
Tim Groseclose,author,lean right,agree,167,101,66,0.6047904191616766
Tim Pool,author,center,somewhat disagree,2452,1127,1325,0.4596247960848287
Tom Cole,author,right,somewhat agree,285,165,120,0.5789473684210527
Tom Nichols,author,lean right,,124,62,62,0.5
Tom Toles (cartoonist),author,left,somewhat agree,177,93,84,0.5254237288135594
Tony Auth (cartoonist),author,left,somewhat agree,119,66,53,0.5546218487394958
Tonya Russell,author,lean left,somewhat agree,22,12,10,0.5454545454545454
Tucker Carlson,author,right,strongly agree,933,669,264,0.7170418006430869
Victor Hanson,author,lean right,somewhat disagree,448,221,227,0.49330357142857145
Walt Handelsman (cartoonist),author,left,somewhat disagree,203,97,106,0.47783251231527096
Willam A. Galston,author,lean left,somewhat agree,245,128,117,0.5224489795918368
William Bennett,author,right,somewhat disagree,362,157,205,0.43370165745856354
William McGurn,author,right,agree,167,108,59,0.6467065868263473
AARP,thinktankpolicy,center,disagree,5372,1799,3573,0.33488458674609084
Accuracy in Media,thinktankpolicy,right,agree,1538,940,598,0.611183355006502
ACLU,thinktankpolicy,lean left,somewhat disagree,4719,1899,2820,0.4024157660521297
American Conservative Union,thinktankpolicy,right,strongly agree,1407,945,462,0.6716417910447762
American Enterprise Institute,thinktankpolicy,lean right,agree,2689,1735,954,0.6452212718482707
Americans for Democratic Action,thinktankpolicy,left,strongly agree,1085,770,315,0.7096774193548387
Americans for Tax Reform,thinktankpolicy,right,somewhat agree,1233,731,502,0.5928629359286294
Amnesty International,thinktankpolicy,lean left,disagree,1317,459,858,0.34851936218678814
Association for Psychological Science,thinktankpolicy,center,somewhat agree,1480,793,687,0.5358108108108108
Atlas Network,thinktankpolicy,right,agree,663,400,263,0.6033182503770739
AtlasOne,thinktankpolicy,lean right,somewhat disagree,599,283,316,0.4724540901502504
Better Government Association,thinktankpolicy,center,somewhat disagree,104,46,58,0.4423076923076923
Bridge Alliance,thinktankpolicy,mixed,somewhat agree,41,23,18,0.5609756097560976
Brookings Institution,thinktankpolicy,center,somewhat agree,4352,2569,1783,0.5903033088235294
Capital Research Center,thinktankpolicy,lean right,agree,80,51,29,0.6375
Carnegie Endowment for International Peace,thinktankpolicy,center,somewhat agree,865,466,399,0.5387283236994219
Cato Institute,thinktankpolicy,lean right,somewhat disagree,2759,1134,1625,0.4110184849583182
Center For American Progress,thinktankpolicy,lean left,somewhat disagree,2665,1078,1587,0.4045028142589118
Center for Media & Democracy PR Watch,thinktankpolicy,lean left,somewhat disagree,628,279,349,0.4442675159235669
Center for Strategic and Budgetary Assessments,thinktankpolicy,lean right,somewhat disagree,870,395,475,0.4540229885057471
Center on Budget and Policy Priorities,thinktankpolicy,left,somewhat agree,1470,787,683,0.535374149659864
Children’s Defense Fund,thinktankpolicy,left,somewhat agree,641,330,311,0.514820592823713
CivilPolitics.org,thinktankpolicy,center,somewhat agree,529,271,258,0.5122873345935728
Coffee Party USA,thinktankpolicy,center,somewhat agree,128,69,59,0.5390625
Committee to Protect Journalists,thinktankpolicy,center,somewhat agree,52,27,25,0.5192307692307693
Common Ground Committee,thinktankpolicy,center,strongly agree,38,28,10,0.7368421052631579
Council on Foreign Relations,thinktankpolicy,left,somewhat disagree,484,204,280,0.4214876033057851
Economic Policy Institute,thinktankpolicy,left,somewhat agree,515,266,249,0.516504854368932
EdVotes.org,thinktankpolicy,left,agree,211,139,72,0.6587677725118484
Environmental Defense Fund,thinktankpolicy,lean left,somewhat agree,655,355,300,0.5419847328244275
Family Research Council,thinktankpolicy,lean right,disagree,1004,384,620,0.38247011952191234
Federation of American Scientists,thinktankpolicy,lean left,somewhat disagree,647,287,360,0.4435857805255023
FEE.org,thinktankpolicy,lean right,absolutely agree,529,398,131,0.7523629489603024
Food Democracy Now,thinktankpolicy,lean left,somewhat disagree,323,154,169,0.47678018575851394
Freakonomics,thinktankpolicy,center,agree,690,432,258,0.6260869565217392
Freedom House,thinktankpolicy,lean right,somewhat disagree,325,135,190,0.4153846153846154
Gell,thinktankpolicy,mixed,agree,166,104,62,0.6265060240963856
GOP.gov,thinktankpolicy,right,strongly agree,848,566,282,0.6674528301886793
Healthcare.gov,thinktankpolicy,lean left,disagree,841,285,556,0.3388822829964328
Human Rights Campaign,thinktankpolicy,left,absolutely agree,76,60,16,0.7894736842105263
Independent Institute,thinktankpolicy,lean right,somewhat disagree,608,290,318,0.4769736842105263
Manhattan Institute,thinktankpolicy,lean right,somewhat disagree,568,248,320,0.43661971830985913
Mercatus Center,thinktankpolicy,lean right,somewhat agree,29,15,14,0.5172413793103449
Mises Institute,thinktankpolicy,lean right,agree,71,47,24,0.6619718309859155
NAACP,thinktankpolicy,lean left,disagree,1043,359,684,0.34419942473633747
National Committee to Preserve Social Security and Medicare,thinktankpolicy,left,somewhat agree,526,278,248,0.5285171102661597
National Interest,thinktankpolicy,center,disagree,583,230,353,0.39451114922813035
New Economy Working Group,thinktankpolicy,lean left,somewhat agree,198,113,85,0.5707070707070707
No Labels,thinktankpolicy,center,somewhat agree,258,138,120,0.5348837209302325
OpenSecrets.org,thinktankpolicy,center,somewhat agree,1029,596,433,0.5792031098153547
Pacific Research Institute,thinktankpolicy,right,somewhat disagree,397,197,200,0.49622166246851385
People for the American Way,thinktankpolicy,left,agree,449,280,169,0.623608017817372
Physicians for a National Health Program,thinktankpolicy,left,somewhat agree,357,213,144,0.5966386554621849
Prager University,thinktankpolicy,right,absolutely agree,4015,3252,763,0.8099626400996264
RAND Corporation,thinktankpolicy,lean left,somewhat disagree,1159,484,675,0.4176013805004314
Reason Foundation,thinktankpolicy,lean right,somewhat disagree,419,195,224,0.46539379474940334
redefinED,thinktankpolicy,center,agree,243,155,88,0.6378600823045267
The Catalyst,thinktankpolicy,lean right,somewhat disagree,19,9,10,0.47368421052631576
The Center for American Progress,thinktankpolicy,lean left,strongly disagree,40,12,28,0.3
The Heritage Foundation,thinktankpolicy,lean right,agree,4425,2830,1595,0.63954802259887
The Reporters Committee for Freedom of the Press,thinktankpolicy,center,somewhat agree,30,18,12,0.6
The Sierra Club,thinktankpolicy,lean left,somewhat disagree,402,163,239,0.4054726368159204
Urban Institute,thinktankpolicy,lean left,somewhat agree,993,552,441,0.5558912386706949
